dataset,mechanism,pattern,missing_rate,method,n_reps,rmse_mean,rmse_median,rmse_std,rmse_ci_low,rmse_ci_high,mae_mean,mae_median,mae_std,mae_ci_low,mae_ci_high,wall_time_sec_mean,wall_time_sec_median,wall_time_sec_std,wall_time_sec_ci_low,wall_time_sec_ci_high,vbpca_mean_variance_mean,rmse_ci,mae_ci,time_ci
diabetes,MCAR,block,0.1,vbpca_vb_modern,20,0.7183963606727399,0.7022387095189135,0.1310066036178075,0.4984441410654003,0.9349161212726712,0.5495027871077314,0.5257645351997899,0.1128177107415791,0.376234904039919,0.7566359558138498,20.6781816150502,21.237354452499854,3.5409831991336898,16.520401195901286,24.30847269305014,0.1403901035075327,"[0.4984, 0.9349]","[0.3762, 0.7566]","[16.5204, 24.3085]"
diabetes,MCAR,block,0.3,mean_pca,20,0.0607301929315462,0.0606989883247123,0.0077804287001392,0.0502994425575569,0.0758328463385279,0.0489094598153896,0.0475356947072505,0.0068930103835324,0.0398365250006104,0.0632512663032552,0.0013599741507277,0.0013710580005863,0.0001309336908712,0.0012258011273842,0.0016377331744479,,"[0.0503, 0.0758]","[0.0398, 0.0633]","[0.0012, 0.0016]"
diabetes,MCAR,block,0.3,mice_pca,20,0.0607301929315462,0.0606989883247123,0.0077804287001392,0.0502994425575569,0.0758328463385279,0.0489094598153896,0.0475356947072505,0.0068930103835324,0.0398365250006104,0.0632512663032552,0.0037686845502321,0.0038185965004231,0.0001688274173178,0.0034787113524543,0.0040284035254444,,"[0.0503, 0.0758]","[0.0398, 0.0633]","[0.0035, 0.0040]"
diabetes,MCAR,block,0.3,vbpca_vb_modern,20,0.0607301929315464,0.0606989883247123,0.0077804287001391,0.050299442557557,0.0758328463385279,0.0489094598153899,0.0475356947072506,0.0068930103835323,0.0398365250006104,0.0632512663032552,18.922115932249834,19.43582253850218,3.272584205477801,15.0677208556991,22.3949404773738,26.71652767065988,"[0.0503, 0.0758]","[0.0398, 0.0633]","[15.0677, 22.3949]"
diabetes,MCAR,block,0.5,mean_pca,20,0.0677405135092249,0.0630414634583537,0.0156809347102171,0.0512840258445892,0.1030628958103752,0.0539731737593467,0.0504125060444028,0.0139889968769628,0.0402497197835824,0.0848142851434073,0.0013553195001804,0.0013411170002654,9.045450349987756e-05,0.0012472923520362,0.0015507141743,,"[0.0513, 0.1031]","[0.0402, 0.0848]","[0.0012, 0.0016]"
diabetes,MCAR,block,0.5,mice_pca,20,0.0677405135092249,0.0630414634583537,0.0156809347102171,0.0512840258445892,0.1030628958103752,0.0539731737593467,0.0504125060444028,0.0139889968769628,0.0402497197835824,0.0848142851434073,0.0037719488500442,0.0037999529977241,0.0001434504201946,0.0035148384748935,0.0039788436249181,,"[0.0513, 0.1031]","[0.0402, 0.0848]","[0.0035, 0.0040]"
diabetes,MCAR,block,0.5,vbpca_vb_modern,20,0.0676545281558912,0.0630414634583537,0.0156613848722844,0.0512840258445892,0.1030628958103752,0.0538728908512941,0.0504125060444027,0.0139519418547212,0.0402497197835823,0.0848142851434073,18.796380305500133,19.36786299999949,3.33631716945387,14.936164501125225,22.222258480874824,25.85002297365677,"[0.0513, 0.1031]","[0.0402, 0.0848]","[14.9362, 22.2223]"
diabetes,MCAR,random,0.1,mean_pca,20,0.8149485485345955,0.8125965581744714,0.0372228163506469,0.7542905686169034,0.8962588863531986,0.6451101085771451,0.6435604133131065,0.0284509766189128,0.5950353117378334,0.7040698231272202,0.0014065278000998,0.001351622500806,0.0002216999411021,0.0012435580739292,0.0020412343512361,,"[0.7543, 0.8963]","[0.5950, 0.7041]","[0.0012, 0.0020]"
diabetes,MCAR,random,0.1,mice_pca,20,0.7184803209022074,0.7182090262819334,0.0307580875364868,0.6529285388790061,0.7645134362535477,0.5197228711126672,0.5228476054247237,0.0218619354851911,0.4708822429997443,0.5473736333886982,0.3214921229000538,0.3282377925006585,0.0681095949536028,0.182674878675607,0.4159361900499788,,"[0.6529, 0.7645]","[0.4709, 0.5474]","[0.1827, 0.4159]"
diabetes,MCAR,random,0.1,vbpca_vb_modern,20,0.7538621445829714,0.7582515114918562,0.0347561586060306,0.6887072720120584,0.8167149138316363,0.5788609865541152,0.5802874624618186,0.0258483455402671,0.5299232555100613,0.6212751632182566,21.391349666850147,24.00374704549904,3.3900686072163224,16.556706285574545,24.21324189545021,0.1424313034996157,"[0.6887, 0.8167]","[0.5299, 0.6213]","[16.5567, 24.2132]"
