dataset,mechanism,pattern,missing_rate,n_components_requested,synthetic_shape,trace_k,rms_mean,rms_ci_low,rms_ci_high
synthetic,MAR,random,0.1,5,1000x50,14,0.046890205949629137,0.04455840996077199,0.04981594616899041
synthetic,MAR,random,0.1,5,1000x50,15,0.04598941414557636,0.043789243153820316,0.04878412176526131
synthetic,MAR,random,0.1,5,1000x50,16,0.04513303938043875,0.04305540753072939,0.04772751534338072
synthetic,MAR,random,0.1,5,1000x50,17,0.044311242313432204,0.04235019732396829,0.046694791333724124
synthetic,MAR,random,0.1,5,1000x50,18,0.04350594323077323,0.04161346602906921,0.04574337334572393
synthetic,MAR,random,0.1,5,1000x50,19,0.04276703307813977,0.04090675387640624,0.044882373196915515
synthetic,MAR,random,0.1,5,1000x50,20,0.04203512666937485,0.04021263000024201,0.044040683366285506
synthetic,MAR,random,0.1,5,1000x50,21,0.04137596515128007,0.03957154033008429,0.043280921103537616
synthetic,MAR,random,0.1,5,1000x50,22,0.04086993511113077,0.03886771717146789,0.042819917851606284
synthetic,MAR,random,0.1,5,1000x50,23,0.04055104336328311,0.03847606730756347,0.04270821902315641
synthetic,MAR,random,0.1,5,1000x50,24,0.04040298034706764,0.038217471532178915,0.04251942406776838
synthetic,MAR,random,0.1,5,1000x50,25,0.04046431931965016,0.03776536474331842,0.04271144127951412
synthetic,MAR,random,0.1,5,1000x50,26,0.03949162606141137,0.03774100051556648,0.04105042892569942
synthetic,MAR,random,0.1,5,1000x50,27,0.0410625544787142,0.0410625544787142,0.0410625544787142
synthetic,MAR,random,0.1,5,1000x50,28,0.0411415925110504,0.0411415925110504,0.0411415925110504
synthetic,MAR,random,0.3,5,1000x50,1,0.8908395453604785,0.8748515600239235,0.9031076488555291
synthetic,MAR,random,0.3,5,1000x50,2,0.7855596369041676,0.7572839044607947,0.801602275876933
synthetic,MAR,random,0.3,5,1000x50,3,0.6802634286725625,0.6510170539448453,0.6976906296124319
synthetic,MAR,random,0.3,5,1000x50,4,0.5767708212236713,0.5436227053947155,0.5971494616108235
synthetic,MAR,random,0.3,5,1000x50,5,0.47120360532175115,0.4312512144449499,0.49583565757615267
synthetic,MAR,random,0.3,5,1000x50,6,0.36086102438630385,0.3219564867763458,0.39451871898430696
synthetic,MAR,random,0.3,5,1000x50,7,0.23608042068823704,0.20127002691313792,0.27038714246372203
synthetic,MAR,random,0.3,5,1000x50,8,0.05451664364586334,0.04871872807198234,0.05933960625622129
synthetic,MAR,random,0.3,5,1000x50,9,0.05215208634770885,0.047232447439923955,0.056546321820790724
synthetic,MAR,random,0.3,5,1000x50,10,0.050330538836709404,0.04587992717843048,0.05427326381815723
synthetic,MAR,random,0.3,5,1000x50,11,0.04884293279589254,0.04485514860817906,0.05245413256331843
synthetic,MAR,random,0.3,5,1000x50,12,0.04746199599576971,0.04382543986356967,0.05080123987997461
synthetic,MAR,random,0.3,5,1000x50,13,0.0462673625205463,0.042765225108589384,0.0493941881056629
synthetic,MAR,random,0.3,5,1000x50,14,0.045155361723444545,0.041733564672016846,0.04806188925138519
synthetic,MAR,random,0.3,5,1000x50,15,0.04411205432112862,0.04072896489690878,0.04696228796293698
synthetic,MAR,random,0.3,5,1000x50,16,0.04312855508708506,0.03983523420016704,0.04582739351227947
synthetic,MAR,random,0.3,5,1000x50,17,0.04217511776610444,0.03890288032343605,0.04477076457837172
synthetic,MAR,random,0.3,5,1000x50,18,0.04127313516886499,0.03809225488766684,0.04381370643469463
synthetic,MAR,random,0.3,5,1000x50,19,0.0404697972949247,0.03729781890732807,0.042929524154304725
synthetic,MAR,random,0.3,5,1000x50,20,0.03968555537463776,0.036493580312367,0.0420654061848679
synthetic,MAR,random,0.3,5,1000x50,21,0.038987641326786546,0.03581556000210907,0.04132615500975198
synthetic,MAR,random,0.3,5,1000x50,22,0.038471864289501674,0.035103947646286666,0.040638079414290894
synthetic,MAR,random,0.3,5,1000x50,23,0.03823222943160433,0.034807686434035826,0.040479139012173315
synthetic,MAR,random,0.3,5,1000x50,24,0.037804985013736817,0.0344359578135175,0.03991993298405157
synthetic,MAR,random,0.3,5,1000x50,25,0.03743865604243557,0.0343210916417729,0.03915709812005935
synthetic,MAR,random,0.3,5,1000x50,26,0.03721012390665132,0.03535231373718611,0.038778318885854764
synthetic,MAR,random,0.3,5,1000x50,27,0.0381035795124451,0.0381035795124451,0.0381035795124451
