dataset,mechanism,pattern,missing_rate,n_components,synthetic_shape,comparator,reference,metric,n_reps,delta_mean,delta_median,delta_std,delta_ci_low,delta_ci_high,comparator_win_rate,vbpca_win_rate,delta_ci
diabetes,MCAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,-2.355754480376504e-16,0.0,1.0759360348506e-15,-2.5703397743548348e-15,9.714451465470121e-17,0.15,0.15,"[-0.0000, 0.0000]"
diabetes,MCAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,-2.355754480376504e-16,0.0,1.0759360348506e-15,-2.5703397743548348e-15,9.714451465470121e-17,0.15,0.15,"[-0.0000, 0.0000]"
diabetes,MCAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,-1.8492152253912763e-16,0.0,8.050384813937702e-16,-1.936818760928105e-15,5.1000870193717984e-17,0.15,0.05,"[-0.0000, 0.0000]"
diabetes,MCAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,-1.8492152253912763e-16,0.0,8.050384813937702e-16,-1.936818760928105e-15,5.1000870193717984e-17,0.15,0.05,"[-0.0000, 0.0000]"
diabetes,MCAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-18.920755958099107,-19.434418596501928,3.2725207082946954,-22.39356905517325,-15.06647426592408,1.0,0.0,"[-22.3936, -15.0665]"
diabetes,MCAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-18.918347247699604,-19.43182040250213,3.272495112691733,-22.3910465719242,-15.06418965152243,1.0,0.0,"[-22.3910, -15.0642]"
diabetes,MCAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,0.0001002829080525,0.0,0.0004484787987738,0.0,0.001052970534552,0.0,0.3,"[0.0000, 0.0011]"
diabetes,MCAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,0.0001002829080525,0.0,0.0004484787987738,0.0,0.001052970534552,0.0,0.3,"[0.0000, 0.0011]"
diabetes,MCAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,8.598535333368997e-05,0.0,0.0003845381902468,-5.100087019371813e-17,0.0009028462100036,0.05,0.2,"[-0.0000, 0.0009]"
diabetes,MCAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,8.598535333368997e-05,0.0,0.0003845381902468,-5.100087019371813e-17,0.0009028462100036,0.05,0.2,"[-0.0000, 0.0009]"
