dataset,mechanism,pattern,missing_rate,n_components_requested,synthetic_shape,replicate_id,q,q_plus_1,has_reversal,trace_k_max
synthetic,MAR,random,0.3,5,1000x50,10,24,25.0,True,25
synthetic,MAR,random,0.3,5,1000x50,11,25,26.0,True,26
synthetic,MAR,random,0.3,5,1000x50,12,23,24.0,True,24
synthetic,MAR,random,0.3,5,1000x50,13,22,23.0,True,23
synthetic,MAR,random,0.3,5,1000x50,14,22,23.0,True,23
synthetic,MAR,random,0.3,5,1000x50,15,22,23.0,True,23
synthetic,MAR,random,0.3,5,1000x50,16,24,25.0,True,25
synthetic,MAR,random,0.3,5,1000x50,17,24,25.0,True,25
synthetic,MAR,random,0.3,5,1000x50,18,24,25.0,True,25
synthetic,MAR,random,0.3,5,1000x50,19,25,26.0,True,26
synthetic,MAR,random,0.5,5,1000x50,0,22,23.0,True,23
synthetic,MAR,random,0.5,5,1000x50,1,20,21.0,True,21
synthetic,MAR,random,0.5,5,1000x50,2,22,23.0,True,23
synthetic,MAR,random,0.5,5,1000x50,3,23,24.0,True,24
synthetic,MAR,random,0.5,5,1000x50,4,23,24.0,True,24
synthetic,MAR,random,0.5,5,1000x50,5,21,22.0,True,22
synthetic,MAR,random,0.5,5,1000x50,6,23,24.0,True,24
synthetic,MAR,random,0.5,5,1000x50,7,22,23.0,True,23
synthetic,MAR,random,0.5,5,1000x50,8,20,21.0,True,21
synthetic,MAR,random,0.5,5,1000x50,9,23,24.0,True,24
synthetic,MAR,random,0.5,5,1000x50,10,21,22.0,True,22
synthetic,MAR,random,0.5,5,1000x50,11,22,23.0,True,23
synthetic,MAR,random,0.5,5,1000x50,12,20,21.0,True,21
synthetic,MAR,random,0.5,5,1000x50,13,20,21.0,True,21
synthetic,MAR,random,0.5,5,1000x50,14,21,22.0,True,22
synthetic,MAR,random,0.5,5,1000x50,15,21,22.0,True,22
synthetic,MAR,random,0.5,5,1000x50,16,21,22.0,True,22
synthetic,MAR,random,0.5,5,1000x50,17,20,21.0,True,21
synthetic,MAR,random,0.5,5,1000x50,18,21,22.0,True,22
synthetic,MAR,random,0.5,5,1000x50,19,23,24.0,True,24
synthetic,MCAR,block,0.1,5,1000x50,0,22,23.0,True,23
synthetic,MCAR,block,0.1,5,1000x50,1,25,26.0,True,26
synthetic,MCAR,block,0.1,5,1000x50,2,22,23.0,True,23
synthetic,MCAR,block,0.1,5,1000x50,3,26,27.0,True,27
synthetic,MCAR,block,0.1,5,1000x50,4,23,24.0,True,24
synthetic,MCAR,block,0.1,5,1000x50,5,23,24.0,True,24
synthetic,MCAR,block,0.1,5,1000x50,6,23,24.0,True,24
synthetic,MCAR,block,0.1,5,1000x50,7,25,26.0,True,26
synthetic,MCAR,block,0.1,5,1000x50,8,22,23.0,True,23
synthetic,MCAR,block,0.1,5,1000x50,9,23,24.0,True,24
synthetic,MCAR,block,0.1,5,1000x50,10,22,23.0,True,23
synthetic,MCAR,block,0.1,5,1000x50,11,22,23.0,True,23
synthetic,MCAR,block,0.1,5,1000x50,12,23,24.0,True,24
synthetic,MCAR,block,0.1,5,1000x50,13,24,25.0,True,25
synthetic,MCAR,block,0.1,5,1000x50,14,24,25.0,True,25
synthetic,MCAR,block,0.1,5,1000x50,15,24,25.0,True,25
synthetic,MCAR,block,0.1,5,1000x50,16,22,23.0,True,23
synthetic,MCAR,block,0.1,5,1000x50,17,21,22.0,True,22
synthetic,MCAR,block,0.1,5,1000x50,18,22,23.0,True,23
synthetic,MCAR,block,0.1,5,1000x50,19,22,23.0,True,23
synthetic,MCAR,block,0.3,5,1000x50,0,20,21.0,True,21
synthetic,MCAR,block,0.3,5,1000x50,1,21,22.0,True,22
synthetic,MCAR,block,0.3,5,1000x50,2,19,20.0,True,20
synthetic,MCAR,block,0.3,5,1000x50,3,19,20.0,True,20
synthetic,MCAR,block,0.3,5,1000x50,4,21,22.0,True,22
synthetic,MCAR,block,0.3,5,1000x50,5,22,23.0,True,23
synthetic,MCAR,block,0.3,5,1000x50,6,22,23.0,True,23
synthetic,MCAR,block,0.3,5,1000x50,7,20,21.0,True,21
synthetic,MCAR,block,0.3,5,1000x50,8,20,21.0,True,21
synthetic,MCAR,block,0.3,5,1000x50,9,21,22.0,True,22
synthetic,MCAR,block,0.3,5,1000x50,10,22,23.0,True,23
synthetic,MCAR,block,0.3,5,1000x50,11,20,21.0,True,21
synthetic,MCAR,block,0.3,5,1000x50,12,20,21.0,True,21
synthetic,MCAR,block,0.3,5,1000x50,13,20,21.0,True,21
synthetic,MCAR,block,0.3,5,1000x50,14,22,23.0,True,23
synthetic,MCAR,block,0.3,5,1000x50,15,19,20.0,True,20
synthetic,MCAR,block,0.3,5,1000x50,16,19,20.0,True,20
synthetic,MCAR,block,0.3,5,1000x50,17,19,20.0,True,20
synthetic,MCAR,block,0.3,5,1000x50,18,20,21.0,True,21
