dataset,mechanism,pattern,missing_rate,n_components_requested,synthetic_shape,method,n_reps,rmse_mean,rmse_median,rmse_std,rmse_ci_low,rmse_ci_high,mae_mean,mae_median,mae_std,mae_ci_low,mae_ci_high,wall_time_sec_mean,wall_time_sec_median,wall_time_sec_std,wall_time_sec_ci_low,wall_time_sec_ci_high,vbpca_mean_variance_mean,vbpca_mean_variance_median,vbpca_mean_variance_std,vbpca_mean_variance_ci_low,vbpca_mean_variance_ci_high
synthetic,MAR,block,0.3,5,1000x50,vbpca_vb_modern,200,3.9934885994677747,3.9429737026284095,0.5096505329685922,3.1307556068636173,4.942318361199323,3.112714642041181,3.067737638854697,0.39569280300393606,2.462400124628378,3.9113650338491492,205.6751002454896,231.3319758175021,35.78265551826779,149.52807013954953,246.33749818827567,86.63962611052078,82.20136995706288,18.697196773679206,80.74505298107442,163.80624398147057
synthetic,MAR,block,0.5,5,1000x50,mean_pca,200,3.992378643702864,3.880738500197009,0.5264040005788116,3.1243224381596275,5.286337839182898,3.1158731049473234,3.061166465433115,0.3974577192314832,2.466249375143955,4.067932987674044,0.0027577083251162037,0.0027990474991383503,0.0001546303134718094,0.0024769639983787174,0.0029954904812256452,,,,,
synthetic,MAR,block,0.5,5,1000x50,mice_pca,200,3.992378643702864,3.880738500197009,0.5264040005788116,3.1243224381596275,5.286337839182898,3.1158731049473234,3.061166465433115,0.3974577192314832,2.466249375143955,4.067932987674044,0.016244223505127543,0.016471258499223,0.0010297963934175862,0.014661863078435903,0.017882597772222626,,,,,
synthetic,MAR,block,0.5,5,1000x50,vbpca_vb_modern,200,3.992378643702864,3.880738500197009,0.5264040005788116,3.1243224381596275,5.286337839182898,3.1158731049473234,3.061166465433115,0.3974577192314832,2.466249375143955,4.067932987674044,205.21994732749485,230.04643461600062,34.35717159106748,156.0885005992048,244.3231712339286,87.89078664513069,82.18245410971237,21.05564241390345,80.77317421260435,164.81509367122146
synthetic,MAR,random,0.1,5,1000x50,mean_pca,200,0.4775222805792822,0.4784426569386281,0.016736632133475135,0.4406131052904658,0.5094446246584112,0.36366231154588,0.36439129701689815,0.01293326521331549,0.3367757333133881,0.3866848963081753,0.002890427864949689,0.00292042699948065,0.00012758855676571566,0.0026607859730574473,0.003082295768581368,,,,,
synthetic,MAR,random,0.1,5,1000x50,mice_pca,200,0.372505459066382,0.37391031173700423,0.018245598497608796,0.33187923836324956,0.404546777811481,0.26899945643934897,0.2697109478001801,0.014195967078323966,0.24176114931760598,0.2936940519648079,0.8384628336998503,0.8496355865026999,0.12316918362594469,0.610008187897256,1.1275781906968405,,,,,
synthetic,MAR,random,0.1,5,1000x50,vbpca_vb_modern,200,0.42295275501333224,0.42490157054699207,0.02059801671995594,0.3769167576311219,0.45883852934395053,0.30741321721356135,0.30828081608174196,0.016453154114371735,0.27626758283537,0.33652713727105726,239.98398266463508,269.0598848024965,38.328155623235126,183.688499500549,282.5312453851282,0.0221644960208737,0.0221569116670471,0.0019684394317068445,0.018055546759669316,0.02597093795078584
synthetic,MAR,random,0.3,5,1000x50,mean_pca,200,0.5997867347451509,0.5989674810324587,0.013228175806888854,0.5760475866006236,0.6252764929455827,0.46523072666213827,0.46494780183220535,0.010168129739553071,0.4448443334437329,0.487449230593017,0.0033405186402887446,0.0033557375027157502,0.00015576820409239094,0.0030082510769715996,0.0035761265289693126,,,,,
synthetic,MAR,random,0.3,5,1000x50,mice_pca,200,0.37442295108835455,0.3739194563241222,0.01771021951654778,0.34096947981539627,0.40790156768072894,0.2707596058499945,0.2705833449970697,0.013570684364054508,0.2447722947336992,0.29534792126154974,2.5613443094450488,2.946935266001674,1.1473679730902904,1.0651333714480644,4.2459579432734245,,,,,
synthetic,MAR,random,0.3,5,1000x50,vbpca_vb_modern,200,0.4404082445155339,0.43915248273867813,0.021248416737837516,0.400146526687097,0.483494148209868,0.32077670304846906,0.3208090350633295,0.016440880269226993,0.2897816138481827,0.3509516828272939,189.52784403836498,212.0231700129989,31.551812339985183,144.71782399174808,225.45934620194822,0.03064241528889676,0.03049497730467735,0.0027659218989909647,0.025240045311129024,0.03541364653888681
