method,rmse,mae,wall_time_sec,vbpca_mean_variance,mice_converged,mice_n_iter,mice_retry_used,vbpca_selected_k,k_used,dataset,mechanism,pattern,missing_rate,n_components_requested,synthetic_shape,replicate_id,seed_data,seed_mask,seed_method,n_samples,n_features,n_holdout,scaling,vbpca_model_selection,use_selected_k_for_all_methods
mice_pca,0.07812673896033394,0.06018971314286565,1.1834978080005385,,True,8.0,False,27,27,synthetic,MCAR,random,0.1,5,1000x50,11,1991591921,1587352716,498019042,1000,50,5000,zscore_observed_only,True,True
vbpca_vb_modern,0.07650464420575596,0.059001351451344934,1114.6471372230008,0.0013444481876660882,,,,27,27,synthetic,MCAR,random,0.1,5,1000x50,11,1991591921,1587352716,498019042,1000,50,5000,zscore_observed_only,True,True
mean_pca,0.6290906993006672,0.47119288840527135,0.0038852609941386618,,,,,22,22,synthetic,MCAR,random,0.1,5,1000x50,12,1793255565,1716108145,457504877,1000,50,5000,zscore_observed_only,True,True
mice_pca,0.06893992550162296,0.05421934293235384,0.7690764419967309,,True,5.0,False,22,22,synthetic,MCAR,random,0.1,5,1000x50,12,1793255565,1716108145,457504877,1000,50,5000,zscore_observed_only,True,True
vbpca_vb_modern,0.06628474359526267,0.052172825943928115,1149.1829548890018,0.0008893777137265754,,,,22,22,synthetic,MCAR,random,0.1,5,1000x50,12,1793255565,1716108145,457504877,1000,50,5000,zscore_observed_only,True,True
mean_pca,0.6621615709299784,0.4997386905392815,0.003462118998868391,,,,,24,24,synthetic,MCAR,random,0.1,5,1000x50,13,1112750942,1705426420,497261917,1000,50,5000,zscore_observed_only,True,True
mice_pca,0.07500947498195315,0.05805946194081853,0.7501673469960224,,True,5.0,False,24,24,synthetic,MCAR,random,0.1,5,1000x50,13,1112750942,1705426420,497261917,1000,50,5000,zscore_observed_only,True,True
vbpca_vb_modern,0.07337112882274557,0.056589818039831916,1255.5542495789996,0.0011754262519238867,,,,24,24,synthetic,MCAR,random,0.1,5,1000x50,13,1112750942,1705426420,497261917,1000,50,5000,zscore_observed_only,True,True
mean_pca,0.6583832968167478,0.5011974819058891,0.0029556770023191348,,,,,24,24,synthetic,MCAR,random,0.1,5,1000x50,14,525711219,356276112,16319298,1000,50,5000,zscore_observed_only,True,True
mice_pca,0.0763815429712228,0.05847300608242031,0.6013446239958284,,True,5.0,False,24,24,synthetic,MCAR,random,0.1,5,1000x50,14,525711219,356276112,16319298,1000,50,5000,zscore_observed_only,True,True
vbpca_vb_modern,0.07560224869703365,0.05780645780233798,817.4212296190017,0.0012272775114042505,,,,24,24,synthetic,MCAR,random,0.1,5,1000x50,14,525711219,356276112,16319298,1000,50,5000,zscore_observed_only,True,True
