dataset,mechanism,pattern,missing_rate,n_components_requested,synthetic_shape,comparator,reference,metric,n_reps,delta_mean,delta_median,delta_std,delta_ci_low,delta_ci_high,comparator_win_rate,vbpca_win_rate
diabetes,MCAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,6.809080357231267e-08,0.0,9.640672706743857e-07,-1.0408340855860843e-16,1.942890293094024e-16,0.07,0.19
diabetes,MCAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,6.809080357231267e-08,0.0,9.640672706743857e-07,-1.0408340855860843e-16,1.942890293094024e-16,0.07,0.19
diabetes,MCAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,4.4379606058062015e-08,0.0,6.275055188283575e-07,-1.0408340855860843e-16,1.0408340855860843e-16,0.1,0.125
diabetes,MCAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,rmse,200,4.4379606058062015e-08,0.0,6.275055188283575e-07,-1.0408340855860843e-16,1.0408340855860843e-16,0.1,0.125
diabetes,MCAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,200,-23.295657784304677,-26.282260207499345,3.920823055662573,-27.68138364319384,-17.705345534331173,1.0,0.0
diabetes,MCAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,200,-23.293326796865223,-26.279909320503062,3.9207546255515693,-27.678980821101685,-17.703225831210148,1.0,0.0
diabetes,MCAR,random,0.1,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,0.08178508909256735,0.08082320771059243,0.017215455081249175,0.046156964693103784,0.11739685096267367,0.0,1.0
diabetes,MCAR,random,0.1,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,-0.060175734280390414,-0.06009023140796954,0.011381667048571601,-0.08110019588555833,-0.040617586619453326,1.0,0.0
diabetes,MCAR,random,0.1,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,0.07046521125836128,0.06939383886019929,0.02131224330130575,0.030128498540240956,0.11484248370594602,0.0,1.0
diabetes,MCAR,random,0.1,5,1000x50,mice_pca,vbpca_vb_modern,rmse,200,-0.04761952168616632,-0.04654217875045663,0.013395231342782797,-0.07653283284175488,-0.023575746657770787,1.0,0.0
diabetes,MCAR,random,0.1,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,200,-25.628723954465023,-28.74380464000205,4.68278991109402,-31.11729279697301,-16.15008083734847,1.0,0.0
diabetes,MCAR,random,0.1,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,200,-25.307879492410283,-28.43649559100231,4.661630409011171,-30.758530409950072,-15.934172500902786,1.0,0.0
diabetes,MCAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,0.08888614206438326,0.08823571571929573,0.010690447890902888,0.06948842200358872,0.1101911634993959,0.0,1.0
diabetes,MCAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,-0.00434365772646221,-0.005124681868678649,0.023064828118001354,-0.046971217506520696,0.036748389497603826,0.55,0.45
diabetes,MCAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,0.0789661285479478,0.07851851326358866,0.01253236346071189,0.055441489926885065,0.10383078325431762,0.0,1.0
diabetes,MCAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,rmse,200,0.04322252285459202,0.04165060637174994,0.043513203665308066,-0.03618821716997625,0.1217626860336881,0.17,0.83
diabetes,MCAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,200,-21.052091442889942,-23.70885450899732,3.552572402662622,-25.10865842238072,-15.968459007528326,1.0,0.0
