dataset,mechanism,pattern,missing_rate,n_components,synthetic_shape,method,n_reps,rmse_mean,rmse_median,rmse_std,rmse_ci_low,rmse_ci_high,mae_mean,mae_median,mae_std,mae_ci_low,mae_ci_high,wall_time_sec_mean,wall_time_sec_median,wall_time_sec_std,wall_time_sec_ci_low,wall_time_sec_ci_high,vbpca_mean_variance_mean,vbpca_mean_variance_median,vbpca_mean_variance_std,vbpca_mean_variance_ci_low,vbpca_mean_variance_ci_high
diabetes,MCAR,block,0.5,5,1000x50,mean_pca,20,0.0677405135092249,0.06304146345835375,0.015680934710217132,0.05128402584458925,0.10306289581037525,0.05397317375934679,0.0504125060444028,0.013988996876962888,0.04024971978358243,0.08481428514340734,0.0013553195001804296,0.0013411170002654502,9.045450349987756e-05,0.0012472923520362624,0.0015507141743000346,,,,,
diabetes,MCAR,block,0.5,5,1000x50,mice_pca,20,0.0677405135092249,0.06304146345835375,0.015680934710217132,0.05128402584458925,0.10306289581037525,0.05397317375934679,0.0504125060444028,0.013988996876962888,0.04024971978358243,0.08481428514340734,0.0037719488500442292,0.0037999529977241,0.00014345042019468345,0.00351483847489357,0.003978843624918173,,,,,
diabetes,MCAR,block,0.5,5,1000x50,vbpca_vb_modern,20,0.06765452815589121,0.06304146345835371,0.01566138487228446,0.05128402584458925,0.10306289581037525,0.053872890851294195,0.050412506044402755,0.013951941854721293,0.04024971978358238,0.08481428514340734,18.796380305500133,19.36786299999949,3.33631716945387,14.936164501125223,22.222258480874824,25.850022973656774,25.924790005423723,0.9882339614869804,23.944263585711795,27.56202406528207
diabetes,MCAR,random,0.1,5,1000x50,mean_pca,20,0.8149485485345955,0.8125965581744714,0.037222816350646996,0.7542905686169034,0.8962588863531986,0.6451101085771451,0.6435604133131065,0.028450976618912834,0.5950353117378334,0.7040698231272202,0.001406527800099805,0.00135162250080605,0.0002216999411021611,0.0012435580739292274,0.00204123435123613,,,,,
diabetes,MCAR,random,0.1,5,1000x50,mice_pca,20,0.7184803209022074,0.7182090262819334,0.030758087536486893,0.6529285388790061,0.7645134362535477,0.5197228711126672,0.5228476054247237,0.02186193548519118,0.4708822429997443,0.5473736333886982,0.3214921229000538,0.32823779250065854,0.06810959495360284,0.18267487867560706,0.41593619004997884,,,,,
diabetes,MCAR,random,0.1,5,1000x50,vbpca_vb_modern,20,0.7538621445829714,0.7582515114918562,0.034756158606030645,0.6887072720120584,0.8167149138316363,0.5788609865541152,0.5802874624618186,0.02584834554026715,0.5299232555100613,0.6212751632182566,21.391349666850147,24.00374704549904,3.3900686072163224,16.556706285574545,24.21324189545021,0.14243130349961575,0.14251617607809908,0.0015713604266187158,0.13977763084786893,0.1447348393539678
diabetes,MCAR,random,0.3,5,1000x50,mean_pca,20,0.8670104991651202,0.8702550902161557,0.02691248437909708,0.8209263202477648,0.9193454461746123,0.6890395517233106,0.6861467988298374,0.018898197424087666,0.6568873160934826,0.7232758515814329,0.001415185600126235,0.0013737339995713999,0.00023285407473095664,0.0012747471502734325,0.001957983349348036,,,,,
diabetes,MCAR,random,0.3,5,1000x50,mice_pca,20,0.8402588809852667,0.8331615402981841,0.03538778053749952,0.7893195154069531,0.909880350308263,0.6098467692981699,0.6098610363418566,0.016685014423562506,0.5787240230428138,0.6393831301268885,0.4432633269505459,0.4491875485018681,0.06108988703992478,0.3483300521011188,0.5304002488494917,,,,,
diabetes,MCAR,random,0.3,5,1000x50,vbpca_vb_modern,20,0.802859295225072,0.8028725267102288,0.02350337386686632,0.7560517686932653,0.8415275461769007,0.621160089664769,0.6223715383814183,0.014744124772521813,0.5883047622013146,0.6389430985809282,17.00165445639941,17.52665429949957,3.0020940735558748,13.465294254998208,20.076020856623654,0.18763348044533826,0.1871997063360244,0.002596150461094773,0.18388449913522711,0.19286272687573452
diabetes,MCAR,random,0.5,5,1000x50,mean_pca,20,0.9066661246291317,0.9032929445869755,0.019205846108063265,0.8745166979787018,0.9382763542420403,0.7296391397551187,0.7285262977266571,0.015240232935695847,0.7044568252433433,0.7528085573755151,0.001411322150670415,0.0014222589998098,6.235759984630281e-05,0.001285602301868485,0.0015050096756567025,,,,,
diabetes,MCAR,random,0.5,5,1000x50,mice_pca,20,0.8816537757351943,0.8781863211306458,0.0222379960069652,0.849736802798839,0.918824980604974,0.674621733678829,0.673303734316367,0.01295295786971409,0.6535898696425808,0.6954449799953052,0.1191552397500345,0.0646945980006421,0.11527507621274635,0.04043567055086893,0.38390169894910275,,,,,
diabetes,MCAR,random,0.5,5,1000x50,vbpca_vb_modern,20,0.843725556747802,0.841996645152143,0.017254684560260174,0.8105745532813016,0.8723666869430391,0.6615099501214321,0.6635154649041237,0.01400121618150696,0.636115611470959,0.6827833554359983,13.379933191149576,13.779976813499161,2.4489511411676053,10.566279875398141,15.920394838374797,0.26165504916659404,0.2611704565973514,0.003862716932823741,0.2564794881153713,0.26904147138618606
synthetic,MAR,block,0.1,5,1000x50,mean_pca,20,0.6902046028783559,0.6860176056591234,0.04639167929008617,0.6072431476369327,0.7624346819123209,0.5413119138366717,0.5395166609872937,0.035804856842615196,0.476534260750346,0.5975600568714847,0.0026417114993818698,0.00264419099949005,0.00011132938194849821,0.002463437999267545,0.00282090699802202,,,,,
synthetic,MAR,block,0.1,5,1000x50,mice_pca,20,0.4742411363220634,0.4856764003655104,0.047163906370189114,0.3882672390393872,0.5426180065184366,0.3515022214214333,0.3633700676820507,0.03332569097700973,0.2908502871296459,0.3942960004802465,0.11659070935038467,0.12248048850051416,0.01126964701054121,0.09127227575190765,0.13024173507692463,,,,,
synthetic,MAR,block,0.1,5,1000x50,vbpca_vb_modern,20,0.5666740941246897,0.5755270247212085,0.06255421306692886,0.45310157369053555,0.6634947428895683,0.4267592550945968,0.4339090659556628,0.04722734979909379,0.34246398339673534,0.4937014836849895,199.00162117110068,224.01289804250152,30.809426790055223,155.96000878782652,227.5747580924505,0.030531478061260643,0.03040479762838015,0.0023826643170665554,0.026881681056383652,0.03538271877834613
synthetic,MAR,block,0.3,5,1000x50,mean_pca,20,4.025287758479775,3.972376147840924,0.4632626929889629,3.3192919747771295,4.802621794187911,3.1589816187267927,3.1584752281000883,0.40200377582653546,2.541739490886203,3.8554800999406127,0.002523369699883855,0.00252889749936,8.672161966589485e-05,0.002364689724345155,0.002653875899522935,,,,,
synthetic,MAR,block,0.3,5,1000x50,mice_pca,20,4.025287758479775,3.972376147840924,0.4632626929889629,3.3192919747771295,4.802621794187911,3.1589816187267927,3.1584752281000883,0.40200377582653546,2.541739490886203,3.8554800999406127,0.016013148450838295,0.01606234900100385,0.0005864290902012984,0.014858104652193933,0.01688962652497135,,,,,
synthetic,MAR,block,0.3,5,1000x50,vbpca_vb_modern,20,4.025287758479775,3.972376147840924,0.46326269298896283,3.3192919747771295,4.802621794187911,3.1589816187267927,3.1584752281000883,0.40200377582653546,2.541739490886203,3.8554800999406127,171.0628077931504,191.13464848250078,25.91534672721167,132.92662919452587,194.46699216642503,75.3315118768028,69.01091838333738,20.289372015289494,67.12573140990624,134.6115132365463
synthetic,MAR,block,0.5,5,1000x50,mean_pca,20,3.92364534449636,3.9158604001110087,0.38957385315785714,3.169990342875664,4.506397232095678,3.0508759561900733,3.0377088651801403,0.27372800491031096,2.5258121620679144,3.4777700290543896,0.00255294759990643,0.00255427750016675,7.952604898375557e-05,0.002422440174996135,0.0027098918490082347,,,,,
synthetic,MAR,block,0.5,5,1000x50,mice_pca,20,3.92364534449636,3.9158604001110087,0.38957385315785714,3.169990342875664,4.506397232095678,3.0508759561900733,3.0377088651801403,0.27372800491031096,2.5258121620679144,3.4777700290543896,0.01600531495005265,0.016217829499510047,0.0006024478460719675,0.014868878176639493,0.016861137724845265,,,,,
synthetic,MAR,block,0.5,5,1000x50,vbpca_vb_modern,20,3.92364534449636,3.9158604001110087,0.38957385315785714,3.169990342875664,4.506397232095678,3.0508759561900733,3.0377088651801403,0.27372800491031096,2.5258121620679144,3.4777700290543896,168.09979572645005,191.6136612620012,28.324432074566914,132.67278550237444,195.44101511597498,75.61733866512701,68.98510008079892,20.10013661507243,67.65299970555206,134.3579139797933
synthetic,MAR,random,0.1,5,1000x50,mean_pca,20,0.5634805060442734,0.5645362943046985,0.016336014344011305,0.5267908469140934,0.5829211068042223,0.4319830771878125,0.4340647805017481,0.012931543796614615,0.40371859785033193,0.4468819708090648,0.00270641615006748,0.0027035209996028996,0.00011063401328153025,0.0025421221743271625,0.0029059057750600473,,,,,
synthetic,MAR,random,0.1,5,1000x50,mice_pca,20,0.4792086502343215,0.48237974427752456,0.017055320042719573,0.4418511406972982,0.4984279039783705,0.3565673417057996,0.3583410643534658,0.013728037276664634,0.327362699614527,0.3732560616905934,0.8645049658503012,0.8813849230000415,0.14500422268014543,0.6552769594752135,1.176098755975272,,,,,
