dataset,mechanism,pattern,missing_rate,n_components_requested,synthetic_shape,replicate_id,seed_data,seed_mask,seed_method,n_samples,n_features,n_holdout,scaling,vbpca_model_selection,use_selected_k_for_all_methods,trace_k,trace_rms,trace_prms,trace_cost
synthetic,MCAR,random,0.1,5,1000x50,2,547800578,395935448,716435562,1000,50,5000,zscore_observed_only,True,True,9,0.051341807131454226,,
synthetic,MCAR,random,0.1,5,1000x50,2,547800578,395935448,716435562,1000,50,5000,zscore_observed_only,True,True,10,0.049420517810575694,,
synthetic,MCAR,random,0.1,5,1000x50,2,547800578,395935448,716435562,1000,50,5000,zscore_observed_only,True,True,11,0.048080374788287174,,
synthetic,MCAR,random,0.1,5,1000x50,2,547800578,395935448,716435562,1000,50,5000,zscore_observed_only,True,True,12,0.04702665670666032,,
synthetic,MCAR,random,0.1,5,1000x50,2,547800578,395935448,716435562,1000,50,5000,zscore_observed_only,True,True,13,0.04595628146682129,,
synthetic,MCAR,random,0.1,5,1000x50,2,547800578,395935448,716435562,1000,50,5000,zscore_observed_only,True,True,14,0.045077117095201125,,
synthetic,MCAR,random,0.1,5,1000x50,2,547800578,395935448,716435562,1000,50,5000,zscore_observed_only,True,True,15,0.04414518212926454,,
synthetic,MCAR,random,0.1,5,1000x50,2,547800578,395935448,716435562,1000,50,5000,zscore_observed_only,True,True,16,0.04330674448181025,,
synthetic,MCAR,random,0.1,5,1000x50,2,547800578,395935448,716435562,1000,50,5000,zscore_observed_only,True,True,17,0.0424698706559431,,
synthetic,MCAR,random,0.1,5,1000x50,2,547800578,395935448,716435562,1000,50,5000,zscore_observed_only,True,True,18,0.04170997447787046,,
synthetic,MCAR,random,0.1,5,1000x50,2,547800578,395935448,716435562,1000,50,5000,zscore_observed_only,True,True,19,0.04094232770323394,,
synthetic,MCAR,random,0.1,5,1000x50,2,547800578,395935448,716435562,1000,50,5000,zscore_observed_only,True,True,20,0.04021599692949386,,
synthetic,MCAR,random,0.1,5,1000x50,2,547800578,395935448,716435562,1000,50,5000,zscore_observed_only,True,True,21,0.039556375958716375,,
synthetic,MCAR,random,0.1,5,1000x50,2,547800578,395935448,716435562,1000,50,5000,zscore_observed_only,True,True,22,0.03921446226723106,,
synthetic,MCAR,random,0.1,5,1000x50,2,547800578,395935448,716435562,1000,50,5000,zscore_observed_only,True,True,23,0.03911308469214902,,
synthetic,MCAR,random,0.1,5,1000x50,2,547800578,395935448,716435562,1000,50,5000,zscore_observed_only,True,True,24,0.038882109976129724,,
synthetic,MCAR,random,0.1,5,1000x50,2,547800578,395935448,716435562,1000,50,5000,zscore_observed_only,True,True,25,0.038918274894139494,,
synthetic,MCAR,random,0.1,5,1000x50,3,377755045,746900260,1743959672,1000,50,5000,zscore_observed_only,True,True,1,0.8938492594679881,,
synthetic,MCAR,random,0.1,5,1000x50,3,377755045,746900260,1743959672,1000,50,5000,zscore_observed_only,True,True,2,0.8030602517145101,,
synthetic,MCAR,random,0.1,5,1000x50,3,377755045,746900260,1743959672,1000,50,5000,zscore_observed_only,True,True,3,0.7041526696061743,,
