method,rmse,mae,wall_time_sec,vbpca_mean_variance,mice_converged,mice_n_iter,mice_retry_used,dataset,mechanism,pattern,missing_rate,n_components,synthetic_shape,replicate_id,seed_data,seed_mask,seed_method,n_samples,n_features,n_holdout
mice_pca,1.4197211025961571,1.1143984858905622,0.013691845999346697,,True,1.0,False,synthetic,MCAR,block,0.5,5,1000x50,3,1569277833,1132670987,596711166,1000,50,11988
vbpca_vb_modern,1.0117218613680756,0.8023862888822545,27.80476578699927,68.05921235244867,,,,synthetic,MCAR,block,0.5,5,1000x50,3,1569277833,1132670987,596711166,1000,50,11988
mean_pca,0.582355482639348,0.44553167742495536,0.0019807930002571084,,,,,synthetic,MAR,random,0.1,5,1000x50,0,881793131,1711637996,972706137,1000,50,5000
mice_pca,0.5050740692294348,0.3717575896244276,1.1349702819989034,,True,9.0,False,synthetic,MAR,random,0.1,5,1000x50,0,881793131,1711637996,972706137,1000,50,5000
vbpca_vb_modern,0.5566941010206291,0.4140318178688536,25.70993285700024,0.03280758312714408,,,,synthetic,MAR,random,0.1,5,1000x50,0,881793131,1711637996,972706137,1000,50,5000
mean_pca,0.5960335728840777,0.4560507124892557,0.002124316999470466,,,,,synthetic,MAR,random,0.1,5,1000x50,1,1858049479,2031390834,643037983,1000,50,5000
mice_pca,0.510706614381259,0.38273557982239165,0.9803286549995391,,True,8.0,False,synthetic,MAR,random,0.1,5,1000x50,1,1858049479,2031390834,643037983,1000,50,5000
vbpca_vb_modern,0.5674456677344386,0.428076263635525,26.1097738619992,0.03289138660863668,,,,synthetic,MAR,random,0.1,5,1000x50,1,1858049479,2031390834,643037983,1000,50,5000
mean_pca,0.5514953234404657,0.41900635878534576,0.0020329970011516707,,,,,synthetic,MAR,random,0.1,5,1000x50,2,1129167025,1131814256,1166011179,1000,50,5000
mice_pca,0.47109111867685854,0.3430168995600441,0.8729104909998568,,True,8.0,False,synthetic,MAR,random,0.1,5,1000x50,2,1129167025,1131814256,1166011179,1000,50,5000
vbpca_vb_modern,0.5203247374904132,0.3830310660012911,25.773829278999983,0.027395244828805707,,,,synthetic,MAR,random,0.1,5,1000x50,2,1129167025,1131814256,1166011179,1000,50,5000
mean_pca,0.5545847839494629,0.42373298119636227,0.0023305630002141697,,,,,synthetic,MAR,random,0.1,5,1000x50,3,153516747,794201560,1252494947,1000,50,5000
mice_pca,0.47531041183764017,0.3519239676354193,0.8670656850008527,,True,7.0,False,synthetic,MAR,random,0.1,5,1000x50,3,153516747,794201560,1252494947,1000,50,5000
vbpca_vb_modern,0.5262794018674505,0.3931499481915679,26.891814478000015,0.029624431132550207,,,,synthetic,MAR,random,0.1,5,1000x50,3,153516747,794201560,1252494947,1000,50,5000
mean_pca,0.649053718732619,0.5102680095268811,0.0025622809989727102,,,,,synthetic,MAR,random,0.3,5,1000x50,0,1972064322,510900102,1383168686,1000,50,15000
mice_pca,0.4733470766341536,0.35692073331343993,3.7744979910003167,,True,20.0,True,synthetic,MAR,random,0.3,5,1000x50,0,1972064322,510900102,1383168686,1000,50,15000
vbpca_vb_modern,0.5395833980710788,0.40819531224715794,20.702364537000904,0.03906991764567138,,,,synthetic,MAR,random,0.3,5,1000x50,0,1972064322,510900102,1383168686,1000,50,15000
