dataset,mechanism,pattern,missing_rate,n_components,synthetic_shape,comparator,reference,metric,n_reps,delta_mean,delta_median,delta_std,delta_ci_low,delta_ci_high,comparator_win_rate,vbpca_win_rate
synthetic,MAR,random,0.1,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,0.03158026511494132,0.031515342868293716,0.00597207050798386,0.022223678174865424,0.0440297520676334,0.0,1.0
synthetic,MAR,random,0.1,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,-0.05269159069501039,-0.0527504359173514,0.004699998380203276,-0.06099215041102189,-0.04431835589978317,1.0,0.0
synthetic,MAR,random,0.1,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-201.23162768354987,-205.83326579299955,34.36289888793863,-238.6956773233753,-144.20033606189946,1.0,0.0
synthetic,MAR,random,0.1,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-200.36982913384963,-205.02767340599712,34.290850045032876,-237.8924233480258,-143.5416153695248,1.0,0.0
synthetic,MAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,0.09893962992686692,0.09609203265767527,0.00835003817687336,0.08567923211411291,0.11490798157414346,0.0,1.0
synthetic,MAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,-0.05406980210519713,-0.0535277868196023,0.0034610164489783817,-0.06003566204875897,-0.04803654363361516,1.0,0.0
synthetic,MAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,0.10841716640732421,0.10624933427968436,0.010534428214239985,0.09319178330331396,0.12736045310263502,0.0,1.0
synthetic,MAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,-0.06774689137688544,-0.06734002338196929,0.0048962132105809545,-0.07637485583109377,-0.059133458459301055,1.0,0.0
synthetic,MAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-164.92651436095102,-175.30910191300063,22.180282284518476,-188.259553179227,-129.02188102037553,1.0,0.0
synthetic,MAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-162.44953890485021,-173.2397865064995,22.22864823260268,-186.10234888852568,-126.61325618912402,1.0,0.0
synthetic,MAR,random,0.5,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,0.1611773866285548,0.16015821841945008,0.00962152988164492,0.14639725474611726,0.18120465402381938,0.0,1.0
synthetic,MAR,random,0.5,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,-0.04958217086071211,-0.05003426548963505,0.005353515811087207,-0.05886711849062803,-0.04043059356679443,1.0,0.0
synthetic,MAR,random,0.5,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,0.18316170678445318,0.18207396805459475,0.012267508219071601,0.16444223538017116,0.20735035259714313,0.0,1.0
synthetic,MAR,random,0.5,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,-0.06252312897013017,-0.06263380500003429,0.00679237973246262,-0.07344783420848121,-0.05046896607523472,1.0,0.0
synthetic,MAR,random,0.5,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-115.49372103524911,-121.8255181149998,18.1381865613024,-134.26700930049984,-90.3633104888495,1.0,0.0
synthetic,MAR,random,0.5,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-114.83238491554967,-121.14334141549989,18.110064703012547,-133.62192412819795,-89.83120948195156,1.0,0.0
synthetic,MCAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,0.09403450793504724,0.09268807640424229,0.02159885997881183,0.06838977882382355,0.1410039528847049,0.0,1.0
synthetic,MCAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,-0.08176098650005213,-0.07444834894938318,0.03420102659661499,-0.16221107794844702,-0.04784524367298176,1.0,0.0
synthetic,MCAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,0.10198442648413286,0.09825519068927224,0.021743999957464517,0.07177194666623281,0.1456747600142251,0.0,1.0
synthetic,MCAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,-0.1036702761745519,-0.09450788573083171,0.044052961583079836,-0.20071389411119703,-0.05835746230934217,1.0,0.0
synthetic,MCAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-206.56251080750025,-230.59537829250078,34.57161782892582,-238.71579882439966,-152.30602537054975,1.0,0.0
synthetic,MCAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-206.34133364149974,-230.39993232850068,34.55936530332313,-238.43501339294895,-152.09640949147362,1.0,0.0
synthetic,MCAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,4.4408920985006264e-17,0.0,1.986027322597818e-16,0.0,4.662936703425645e-16,0.0,0.05
synthetic,MCAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,4.4408920985006264e-17,0.0,1.986027322597818e-16,0.0,4.662936703425645e-16,0.0,0.05
synthetic,MCAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
synthetic,MCAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
synthetic,MCAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-174.71729815274995,-185.9724478745002,27.36414222895465,-202.62489899520034,-133.7424966022757,1.0,0.0
synthetic,MCAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-174.70327291639995,-185.9579635520004,27.363565717279837,-202.61051276767498,-133.72962431977618,1.0,0.0
synthetic,MCAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,-6.661338147750939e-17,0.0,2.6074384811831654e-16,-6.7723604502134545e-16,2.3314683517128224e-16,0.15,0.05
synthetic,MCAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,-6.661338147750939e-17,0.0,2.6074384811831654e-16,-6.7723604502134545e-16,2.3314683517128224e-16,0.15,0.05
synthetic,MCAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
synthetic,MCAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
synthetic,MCAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-173.5331732507998,-183.83204274000127,27.847758967320377,-200.70354775782457,-134.12443605879903,1.0,0.0
synthetic,MCAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-173.51948844924965,-183.8184748775002,27.847194512770443,-200.68923701364943,-134.11174234149962,1.0,0.0
synthetic,MCAR,random,0.1,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,0.028387902599948146,0.027414280213765907,0.0050908019249398416,0.020893929806941155,0.03816819170445347,0.0,1.0
synthetic,MCAR,random,0.1,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,-0.04056268897176067,-0.0404457738048932,0.0021900668653896003,-0.04445229613929679,-0.03659609791916912,1.0,0.0
synthetic,MCAR,random,0.1,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,0.026318028109202574,0.025926998836045434,0.004284364205400488,0.019490092166617786,0.0349549872201184,0.0,1.0
synthetic,MCAR,random,0.1,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,-0.050575424037406315,-0.05035022760765964,0.0025644717516676895,-0.05510849029154068,-0.04624994513892563,1.0,0.0
synthetic,MCAR,random,0.1,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-201.9568403896,-217.9955655424992,30.892889463952194,-234.562264793575,-152.97174739584938,1.0,0.0
synthetic,MCAR,random,0.1,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-201.42535796365001,-217.41035692599962,30.857981564996603,-234.05139344482464,-152.47439629150028,1.0,0.0
synthetic,MCAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,0.08041202834601148,0.08034050572936363,0.005250874260031209,0.07207489783305555,0.08840807415321501,0.0,1.0
synthetic,MCAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,-0.04954030985777397,-0.0487820381324488,0.0026552223629071415,-0.055806898459473994,-0.04627548838515151,1.0,0.0
synthetic,MCAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,0.08362180160002818,0.08317789709319984,0.006323106849162208,0.0718730513575099,0.09253972482918803,0.0,1.0
synthetic,MCAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,-0.061404465857912094,-0.06116888104918866,0.002763280054361698,-0.06679185092705363,-0.05790211061582358,1.0,0.0
synthetic,MCAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-157.52410956774983,-166.1532586935,25.085167214406663,-184.89815830259985,-120.69907784677399,1.0,0.0
synthetic,MCAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-156.52236387349996,-165.1303975565006,24.99361435006847,-183.83566787325094,-119.93685023599924,1.0,0.0
