dataset,mechanism,pattern,missing_rate,n_components_requested,synthetic_shape,trace_k,rms_mean,rms_ci_low,rms_ci_high
synthetic,MAR,block,0.1,5,1000x50,3,0.6833622313694656,0.651787848143659,0.7139430052470189
synthetic,MAR,block,0.1,5,1000x50,4,0.5809909459543242,0.5476741919154478,0.6134183910345734
synthetic,MAR,block,0.1,5,1000x50,5,0.4765647037923311,0.43808499556153674,0.5097693199669707
synthetic,MAR,block,0.1,5,1000x50,6,0.36752029269063446,0.33141080216627017,0.3995339731083287
synthetic,MAR,block,0.3,5,1000x50,1,0.8858792345922089,0.8642942902929701,0.901607219668852
synthetic,MAR,block,0.3,5,1000x50,2,0.7789915206936381,0.7467072735173229,0.804799650496728
synthetic,MAR,block,0.3,5,1000x50,3,0.6739679480467475,0.6326525287414417,0.7095992766338008
synthetic,MAR,block,0.3,5,1000x50,4,0.5694059923956741,0.5296564508340069,0.6100687564976267
synthetic,MAR,block,0.3,5,1000x50,5,0.4640879745123858,0.42418135068390483,0.5019480087415222
synthetic,MAR,block,0.3,5,1000x50,6,0.35495803704349044,0.31174309491132474,0.39212563856939964
synthetic,MAR,block,0.5,5,1000x50,1,0.8852642383226546,0.8612199632661169,0.9042870311211663
synthetic,MAR,block,0.5,5,1000x50,2,0.7776634027458472,0.744362146892042,0.8060391691474873
synthetic,MAR,block,0.5,5,1000x50,3,0.6722276662877411,0.6307946179058541,0.7054902074537467
synthetic,MAR,block,0.5,5,1000x50,4,0.5681757331077759,0.5230299613598323,0.6009883464744279
synthetic,MAR,block,0.5,5,1000x50,5,0.4628380616610444,0.41783560757358834,0.5019784517162568
synthetic,MAR,block,0.5,5,1000x50,6,0.3536045943630819,0.31037547498914214,0.3959390614772081
synthetic,MAR,random,0.1,5,1000x50,1,0.8909508786075135,0.8692383369185326,0.9051492406354231
synthetic,MAR,random,0.1,5,1000x50,2,0.7868371056371177,0.7585513337264358,0.8073963872289295
synthetic,MAR,random,0.1,5,1000x50,3,0.6844230861083447,0.6544720347290032,0.7107245673818542
synthetic,MAR,random,0.1,5,1000x50,4,0.581961914608056,0.5472082979029378,0.6155548285412568
synthetic,MAR,random,0.1,5,1000x50,5,0.477982734962043,0.44596413199571117,0.507666222251144
synthetic,MAR,random,0.1,5,1000x50,6,0.3693978768442205,0.3326248608722503,0.40133532504099606
synthetic,MAR,random,0.3,5,1000x50,1,0.8901659847957591,0.8724369695935262,0.9043894581719574
synthetic,MAR,random,0.3,5,1000x50,2,0.7845150383210553,0.758420169979435,0.8097832858271683
synthetic,MAR,random,0.3,5,1000x50,3,0.681632088744553,0.6554826724467232,0.7081482009740939
synthetic,MAR,random,0.3,5,1000x50,4,0.5785422559270714,0.5480447100606219,0.6079059763427402
synthetic,MAR,random,0.3,5,1000x50,5,0.4728607774249875,0.43562985283823136,0.5022862710975036
synthetic,MAR,random,0.3,5,1000x50,6,0.3627896584354832,0.3280878755211098,0.3924423599864966
synthetic,MAR,random,0.5,5,1000x50,1,0.8853396332741439,0.8664162773109714,0.901086956938759
synthetic,MAR,random,0.5,5,1000x50,2,0.7778761377268042,0.7512470526624089,0.801317403541032
synthetic,MAR,random,0.5,5,1000x50,3,0.6723053926049947,0.6433672394649355,0.7009632854835034
synthetic,MAR,random,0.5,5,1000x50,4,0.5672855274772711,0.5291446803739942,0.6025241007393113
synthetic,MAR,random,0.5,5,1000x50,5,0.46088213157861774,0.42216432240106017,0.4955321177866537
synthetic,MAR,random,0.5,5,1000x50,6,0.3512251219609381,0.31413923870693106,0.38280719429113746
synthetic,MCAR,block,0.1,5,1000x50,1,0.8902670707340111,0.8720950626393564,0.9066026436415511
synthetic,MCAR,block,0.1,5,1000x50,2,0.7861280717596415,0.7623261166402435,0.8135083651290658
synthetic,MCAR,block,0.1,5,1000x50,3,0.6844627360621122,0.6562430838246054,0.7142179325723585
synthetic,MCAR,block,0.1,5,1000x50,4,0.5822805465537927,0.5492331733603378,0.6219094021375678
synthetic,MCAR,block,0.1,5,1000x50,5,0.47841149438172287,0.4443168001683984,0.521559056857867
synthetic,MCAR,block,0.1,5,1000x50,6,0.36911868930601605,0.3355677569695294,0.4105800873331168
synthetic,MCAR,block,0.3,5,1000x50,1,0.8849085814566527,0.8639151333961697,0.9000037756155244
synthetic,MCAR,block,0.3,5,1000x50,2,0.7763549380760617,0.7421778009491711,0.8020525166381283
synthetic,MCAR,block,0.3,5,1000x50,3,0.6700606776103902,0.6269662523378187,0.7025950641253575
synthetic,MCAR,block,0.3,5,1000x50,4,0.565186078040369,0.5264987472229018,0.6004790227033542
synthetic,MCAR,block,0.3,5,1000x50,5,0.4592145576532425,0.4213513355905942,0.49525913572546754
synthetic,MCAR,block,0.3,5,1000x50,6,0.35031436683634576,0.3120210889885664,0.38727717218460644
synthetic,MCAR,block,0.5,5,1000x50,1,0.8857292282746113,0.8620917311138506,0.9029831159718009
synthetic,MCAR,block,0.5,5,1000x50,2,0.7766060184318608,0.7447981655080582,0.8026649011532282
synthetic,MCAR,block,0.5,5,1000x50,3,0.6717615099176981,0.6319958018796599,0.7056286138052945
synthetic,MCAR,block,0.5,5,1000x50,4,0.5675298924970111,0.5250452480302046,0.6042919549278825
synthetic,MCAR,block,0.5,5,1000x50,5,0.46218701380642363,0.4212500952355591,0.49901164283876254
synthetic,MCAR,block,0.5,5,1000x50,6,0.3528656588134945,0.31591912592265736,0.3865015651245714
synthetic,MCAR,random,0.1,5,1000x50,1,0.8921686651010379,0.8745392717499594,0.9079437157828301
synthetic,MCAR,random,0.1,5,1000x50,2,0.7895140943931029,0.7607634326609961,0.8150022349771617
synthetic,MCAR,random,0.1,5,1000x50,3,0.6871670307062773,0.6573976279532536,0.7146743889475826
synthetic,MCAR,random,0.1,5,1000x50,4,0.5849551052294624,0.5522123875493308,0.6147233623069314
synthetic,MCAR,random,0.1,5,1000x50,5,0.4805955998379173,0.4446733058758,0.5117873149962201
synthetic,MCAR,random,0.1,5,1000x50,6,0.370515517225028,0.32846417101277786,0.40580718523851994
synthetic,MCAR,random,0.3,5,1000x50,1,0.8905741603736468,0.8753994299328131,0.9055227759147062
