dataset,mechanism,pattern,missing_rate,n_components_requested,synthetic_shape,comparator,reference,metric,n_reps,delta_mean,delta_median,delta_std,delta_ci_low,delta_ci_high,comparator_win_rate,vbpca_win_rate,delta_ci
diabetes,MCAR,random,0.5,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,0.0830009285307635,0.0831158356046856,0.0120954419133867,0.05729173477199,0.1061176055128711,0.0,1.0,"[0.0573, 0.1061]"
diabetes,MCAR,random,0.5,5,1000x50,mice_pca,vbpca_vb_modern,rmse,200,0.0476306152377207,0.0445026827519464,0.0185004818556029,0.0175177992711335,0.0911644073775068,0.0,1.0,"[0.0175, 0.0912]"
diabetes,MCAR,random,0.5,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,200,-16.516199053345044,-18.750054854499467,2.929111439799792,-19.857318446549293,-12.528736020200991,1.0,0.0,"[-19.8573, -12.5287]"
diabetes,MCAR,random,0.5,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,200,-16.387434040085427,-18.62554355900284,2.9164352111469016,-19.693526512575044,-12.45576376288136,1.0,0.0,"[-19.6935, -12.4558]"
synthetic,MAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,0.1533577856560306,0.1509080633045972,0.024267853749147,0.1087057314072506,0.2099507633582588,0.0,1.0,"[0.1087, 0.2100]"
synthetic,MAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,-0.0621691694702364,-0.058187683128175,0.021140846498613,-0.1139744849807686,-0.0371024423365404,1.0,0.0,"[-0.1140, -0.0371]"
synthetic,MAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,0.1658582871181352,0.1614636444731014,0.0305638230167848,0.1153868763415016,0.2396380582815152,0.0,1.0,"[0.1154, 0.2396]"
synthetic,MAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,rmse,200,-0.0810723582033922,-0.0759816710621807,0.0272636521594146,-0.1501790950886882,-0.0490639633257771,1.0,0.0,"[-0.1502, -0.0491]"
synthetic,MAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,200,-239.75843735835,-268.3079398259979,37.69717197666517,-282.31273240973206,-183.50661251422665,1.0,0.0,"[-282.3127, -183.5066]"
synthetic,MAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,200,-239.64240644153,-268.18547342799866,37.68943933345287,-282.18865221840224,-183.40363143152408,1.0,0.0,"[-282.1887, -183.4036]"
synthetic,MAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,0.0,0.0,1.2592259768388487e-16,0.0,4.440892098500626e-16,0.02,0.03,"[0.0000, 0.0000]"
synthetic,MAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,0.0,0.0,1.2592259768388487e-16,0.0,4.440892098500626e-16,0.02,0.03,"[0.0000, 0.0000]"
synthetic,MAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,-1.7763568394002505e-17,0.0,1.4657952900424035e-16,-4.440892098500626e-16,0.0,0.03,0.005,"[-0.0000, 0.0000]"
synthetic,MAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,rmse,200,-1.7763568394002505e-17,0.0,1.4657952900424035e-16,-4.440892098500626e-16,0.0,0.03,0.005,"[-0.0000, 0.0000]"
synthetic,MAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,200,-205.67233253639432,-231.3291518755032,35.78253464870299,-246.33465021479932,-149.52587206042423,1.0,0.0,"[-246.3347, -149.5259]"
