dataset,mechanism,pattern,missing_rate,n_components_requested,method,n_reps,rmse_mean,rmse_median,rmse_std,rmse_ci_low,rmse_ci_high,mae_mean,mae_median,mae_std,mae_ci_low,mae_ci_high,wall_time_sec_mean,wall_time_sec_median,wall_time_sec_std,wall_time_sec_ci_low,wall_time_sec_ci_high,vbpca_mean_variance_mean,rmse_ci,mae_ci,time_ci
diabetes,MCAR,block,0.1,5,mean_pca,200,0.8245379409647131,0.8227976958210592,0.086463133002866,0.6552890196766779,0.9854983759659536,0.6617493223256067,0.6565559551487462,0.0870909853837234,0.5104698769093661,0.8369031916952279,0.0015075920195521,0.0015271100019162,8.970384593337058e-05,0.0012083921716111,0.0016164269765795,,"[0.6553, 0.9855]","[0.5105, 0.8369]","[0.0012, 0.0016]"
diabetes,MCAR,block,0.1,5,mice_pca,200,0.6818090573454936,0.6823796279515358,0.1745002989339611,0.3274949231654106,0.997460811542968,0.506222627563907,0.4859580659640873,0.1586050953195772,0.2376497008219039,0.8132262116175888,0.0120241393448668,0.0091387050015327,0.0102717146438525,0.0060474199977761,0.056785488555215,,"[0.3275, 0.9975]","[0.2376, 0.8132]","[0.0060, 0.0568]"
diabetes,MCAR,block,0.1,5,vbpca_vb_modern,200,0.7887833976662639,0.7801426288528417,0.1525891266594145,0.5139207791488953,1.0832822772731567,0.6036669074837975,0.5943281214342064,0.1352838046549931,0.3831813938668643,0.8614606050127842,26.12742325890969,29.06638152549931,4.905713981860193,16.14352392702167,31.212294817419934,0.1348355109418145,"[0.5139, 1.0833]","[0.3832, 0.8615]","[16.1435, 31.2123]"
diabetes,MCAR,block,0.3,5,mean_pca,200,0.0676123216348278,0.0658510065232836,0.0138547156750759,0.0479586504415849,0.1034004205642682,0.0542629053642432,0.0511603910100941,0.0128177199263765,0.0381133941907116,0.0875650276842352,0.0014828948050489,0.0014913130034983,4.792960779955137e-05,0.0013855662531568,0.0015600559720041,,"[0.0480, 0.1034]","[0.0381, 0.0876]","[0.0014, 0.0016]"
diabetes,MCAR,block,0.3,5,mice_pca,200,0.0676123216348278,0.0658510065232836,0.0138547156750759,0.0479586504415849,0.1034004205642682,0.0542629053642432,0.0511603910100941,0.0128177199263765,0.0381133941907116,0.0875650276842352,0.0038015236096907,0.003845678995276,0.0001599406366521,0.0034850420301153,0.0040020571263084,,"[0.0480, 0.1034]","[0.0381, 0.0876]","[0.0035, 0.0040]"
diabetes,MCAR,block,0.3,5,vbpca_vb_modern,200,0.0675642289078022,0.0658510065232836,0.0139038728764618,0.0479586504415849,0.1034004205642682,0.0542279147873822,0.051160391010094,0.0128563880380554,0.0377745988521413,0.0875650276842352,23.062092140679887,26.20186726999964,3.894493671033168,17.692797611427885,27.653623949401847,30.676232063020706,"[0.0480, 0.1034]","[0.0378, 0.0876]","[17.6928, 27.6536]"
diabetes,MCAR,block,0.5,5,mean_pca,200,0.0659877265277081,0.0619784224343934,0.0145052816704911,0.0484411444236434,0.1035166476767341,0.0530241055623002,0.0485765012466883,0.0130412168321382,0.0383622659422992,0.0849955610020315,0.0014860862354179,0.0014900400019541,4.250250906997031e-05,0.0013948925739896,0.0015566769727228,,"[0.0484, 0.1035]","[0.0384, 0.0850]","[0.0014, 0.0016]"
diabetes,MCAR,block,0.5,5,mice_pca,200,0.0659877265277081,0.0619784224343934,0.0145052816704911,0.0484411444236434,0.1035166476767341,0.0530241055623002,0.0485765012466883,0.0130412168321382,0.0383622659422992,0.0849955610020315,0.0038170736748724,0.0038474694993055,0.0001488799287238,0.0034568642009616,0.0040578510705017,,"[0.0484, 0.1035]","[0.0384, 0.0850]","[0.0035, 0.0041]"
diabetes,MCAR,block,0.5,5,vbpca_vb_modern,200,0.0659876821481021,0.0619784224343933,0.014505234164622,0.0484411444236433,0.1035166476767341,0.0530240374714966,0.0485765012466883,0.0130411406714109,0.0383622659422992,0.0849955610020314,23.297143870540094,26.28375679950113,3.9208391928154542,17.70675381735473,27.682898378421307,30.89291428831783,"[0.0484, 0.1035]","[0.0384, 0.0850]","[17.7068, 27.6829]"
diabetes,MCAR,random,0.1,5,mean_pca,200,0.8271422430336934,0.8310891893755487,0.0308981569376697,0.7663689749019561,0.8793655756728532,0.6522441730273937,0.6548485228905695,0.0239243084218179,0.6046753473036625,0.6912356398593006,0.0015207937551894,0.0015312579998862,7.695609813314991e-05,0.0012233712272062,0.0016247873487372,,"[0.7664, 0.8794]","[0.6047, 0.6912]","[0.0012, 0.0016]"
